brand,category,date,discount,id_product,name,perc_discount,price,price_discount
G-Star Raw,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001012211110627,Vaquero 3301 de hombre tapered azul,0.0,119.95,119.95
Green Coast,"Moda hombre,Ropa,Camisas",2022-04-11,15.0,001025011302962,Sobrecamisa de hombre verde,30.0,49.99,34.99
Green Coast,"Moda hombre,Ropa,Camisas",2022-04-11,15.0,001025011800080,Sobrecamisa de hombre marrón,30.0,49.99,34.99
Desigual,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001029740001184,Camiseta de hombre azul con estampado grande de la Torre Eiffel,0.0,39.95,39.95
Dockers,"Moda hombre,Ropa,Pantalones,Chinos",2022-04-11,0.0,001012210105529,Chino de hombre Alpha Icon tapered verde militar,0.0,99.0,99.0
Dockers,"Moda hombre,Ropa,Pantalones,Chinos",2022-04-11,0.0,001012210105537,Chino de hombre Alpha Icon tapered gris claro,0.0,99.0,99.0
Dockers,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001012240101738,Camiseta panadera de hombre gris de manga larga,0.0,39.0,39.0
Dockers,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001012220065291,Camisa de hombre regular lisa azul claro,0.0,69.0,69.0
Dockers,"Moda hombre,Ropa,Pantalones,Pantalones joggers",2022-04-11,0.0,001012210500646,Jogger de hombre regular crudo,0.0,79.0,79.0
Hackett,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000422703835,Camisa de hombre slim fit  rayas en color azul,0.0,79.0,79.0
Hackett,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000424707123,Camisa de hombre slim fit con estampado de flores en azul y rosa,0.0,89.0,89.0
Hackett,"Moda hombre,Ropa",2022-04-11,0.0,5059098976167,Camiseta de hombre en color marrón de manga corta,0.0,55.0,55.0
Mirto,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001004981505821,Camiseta de hombre algodón orgánico blanco de manga corta,0.0,39.9,39.9
Mirto,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000414711309,Camisa de hombre classic estampada azul,0.0,110.0,110.0
Mirto,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001004981505870,Camiseta de hombre de algodón orgánico azul de manga corta,0.0,39.9,39.9
Mirto,"Moda hombre,Ropa,Punto y Jerséis",2022-04-11,0.0,001004913801199,Cárdigan de hombre de punto color crudo cierre con botones,0.0,119.0,119.0
